fabric_name,difficulty_level,main_problems,why_avoid_as_beginner,beginner_alternatives
Silk Chiffon,非常高,极度光滑，容易散边，难以裁剪和缝制，需要法式接缝。,需要法式接缝、衬纸支撑和精确处理等高级技术。,棉巴里纱或棉麻（或细棉布）。
Silk/Rayon Charmeuse,非常高,非常光滑，贴身，难以处理和裁剪。,对初学者来说太滑了，难以控制，很容易因失误而损坏。,棉贡缎或背绉缎。
Satin,高,光滑，会留下针孔，容易起皱，贴身。,会显现出每一个瑕疵，用错张力或针就容易起皱。,棉贡缎或抛光棉。
Velvet,高,绒毛光滑，需要考虑绒毛的走向，缝制时会移动，需要特殊熨烫。,绒毛的走向对外观至关重要，绒毛容易被卷入机器，需要经验。,平绒（棉质天鹅绒）或灯芯绒。
Faux Fur,非常高,掉毛严重、场面混乱，接缝厚重，难以看清标记，需要特殊裁剪。,会制造混乱，厚重的接缝会给基础缝纫机带来压力，需要特殊的裁剪工具。,摇粒绒或minky面料。
Leather/Vinyl,非常高,厚重且没有容错空间，容易断针，没有犯错余地，需要特殊的压脚。,这种材料没有容错空间――针孔是永久性的，需要重型设备。,重磅棉帆布或厚棉布。
Sequined/Beaded Fabrics,非常高,必须移除缝份上的亮片/珠子，容易断针，不能直接熨烫。,准备工作耗时，有弄断昂贵的针和损坏机器的风险。,带有装饰性明线的素色棉布。
Jersey Knits,中-高,边缘卷曲，容易拉伸变形，难以精确裁剪。,边缘卷曲使得卷边困难，裁剪时会发生不可预测的拉伸。,罗马布或稳定的棉针织布。
Stretch/Spandex Fabrics,中-高,需要使用弹性线迹，接缝容易崩开，需要复杂的计算。,需要了解拉伸比以及使用特殊的线迹/针。,含2%氨纶的棉混纺面料。
Organza,高,非常薄且易于滑动，难以保持平直，需要衬纸支撑。,太过娇贵且易于滑动，对初学者来说处理起来很令人沮丧。,棉麻布或细棉布。
Tulle,中,重量轻且容易钩住，难以裁剪出直线。,容易撕裂，难以获得干净的切口和接缝。,棉网布或轻质棉布。
Lace,高,开放式编织结构，需要特殊的接缝技术，需要精细处理。,需要复杂的制作方法，缝制过程中容易被钩住。,鸡眼棉布或绣花棉布。
Bias Cut Fabrics,高,容易拉伸和变形，需要假缝固定，排版复杂。,需要高级的排版技巧和稳定技术。,直纹棉布或亚麻布。
